timestamp,query_date,floorplan_id,floorplan,unit_id,unit,beds,baths,sqft,price,price_min,price_max,price_range,availability
2026-04-06T17:36:47.371042,2026-04-06,5194165,A1,39937809,1012,1 Bed,1 Bath,562 Sqft,,1579.0,1787.0,"$1,579 - $1,787",Available on 04/17
2026-04-06T17:36:47.371042,2026-04-06,5194165,A1,39937826,1112,1 Bed,1 Bath,562 Sqft,,1579.0,1787.0,"$1,579 - $1,787",Now
2026-04-06T17:36:47.371042,2026-04-06,5194166,A2,39937853,1305,1 Bed,1 Bath,605 Sqft,,1669.0,1810.0,"$1,669 - $1,810",Available on 05/05
2026-04-06T17:36:47.371042,2026-04-06,5194166,A2,39937870,1405,1 Bed,1 Bath,605 Sqft,,1669.0,1810.0,"$1,669 - $1,810",Now
2026-04-06T17:36:47.371042,2026-04-06,5194167,A3,39937919,1703,1 Bed,1 Bath,616 Sqft,,1754.0,1899.0,"$1,754 - $1,899",Now
2026-04-06T17:36:47.371042,2026-04-06,5194167,A3,39937953,1903,1 Bed,1 Bath,616 Sqft,,1754.0,1899.0,"$1,754 - $1,899",Available on 04/10
2026-04-06T17:36:47.371042,2026-04-06,5194168,A4,39937842,1211,1 Bed,1 Bath,695 Sqft,,1814.0,1919.0,"$1,814 - $1,919",Available on 04/30
2026-04-06T17:36:47.371042,2026-04-06,5194168,A4,39937859,1311,1 Bed,1 Bath,695 Sqft,,1814.0,1919.0,"$1,814 - $1,919",Now
2026-04-06T17:36:47.371042,2026-04-06,5194169,A4A,39937706,411,1 Bed,1 Bath,695 Sqft,,1634.0,1702.0,"$1,634 - $1,702",Now
2026-04-06T17:36:47.371042,2026-04-06,5194170,A5,39937916,1617,1 Bed,1 Bath,475 Sqft,,1484.0,1693.0,"$1,484 - $1,693",Now
2026-04-06T17:36:47.371042,2026-04-06,5194170,A5,39937712,417,1 Bed,1 Bath,475 Sqft,,1484.0,1693.0,"$1,484 - $1,693",Now
2026-04-06T17:36:47.371042,2026-04-06,5194171,A6,39937943,1810,1 Bed,1 Bath,671 Sqft,,2019.0,2103.0,"$2,019 - $2,103",Now
2026-04-06T17:36:47.371042,2026-04-06,5194171,A6,39937976,2010,1 Bed,1 Bath,671 Sqft,,2019.0,2103.0,"$2,019 - $2,103",Now
2026-04-06T17:36:47.371042,2026-04-06,5194172,A7,39937845,1214,1 Bed,1 Bath,729 Sqft,,1919.0,2238.0,"$1,919 - $2,238",Now
2026-04-06T17:36:47.371042,2026-04-06,5194172,A7,39937777,814,1 Bed,1 Bath,729 Sqft,,1919.0,2238.0,"$1,919 - $2,238",Now
2026-04-06T17:36:47.371042,2026-04-06,5194174,A8,39937878,1413,1 Bed,1 Bath,808 Sqft,,2184.0,2388.0,"$2,184 - $2,388",Available on 04/30
2026-04-06T17:36:47.371042,2026-04-06,5194174,A8,39937776,813,1 Bed,1 Bath,808 Sqft,,2184.0,2388.0,"$2,184 - $2,388",Available on 04/17
2026-04-06T17:36:47.371042,2026-04-06,5194175,B1,39937847,1216,2 Beds,2 Baths,"1,027 Sqft",,2769.0,3145.0,"$2,769 - $3,145",Now
2026-04-06T17:36:47.371042,2026-04-06,5194175,B1,39937924,1708,2 Beds,2 Baths,"1,027 Sqft",,2769.0,3145.0,"$2,769 - $3,145",Now
2026-04-06T17:36:47.371042,2026-04-06,5194176,B2,39937829,1115,2 Beds,2 Baths,"1,114 Sqft",,2859.0,2998.0,"$2,859 - $2,998",Available on 05/03
2026-04-06T17:36:47.371042,2026-04-06,5194176,B2,39937863,1315,2 Beds,2 Baths,"1,114 Sqft",,2859.0,2998.0,"$2,859 - $2,998",Available on 05/07
2026-04-06T17:36:47.371042,2026-04-06,5194180,PH04,39937985,2104,1 Bed,1 Bath,715 Sqft,3150.0,3150.0,3150.0,"$3,150",Now
2026-04-06T17:36:47.371042,2026-04-06,5194181,PH05,39937986,2105,1 Bed,1 Bath,784 Sqft,3450.0,3450.0,3450.0,"$3,450",Now
2026-04-06T17:36:47.371042,2026-04-06,5194184,PH08,39937989,2108,1 Bed,1 Bath,684 Sqft,2985.0,2985.0,2985.0,"$2,985",Now
2026-04-06T17:36:47.371042,2026-04-06,5194185,PH09,39937990,2109,2 Beds,2 Baths,"1,329 Sqft",6134.0,6134.0,6134.0,"$6,134",Now
2026-04-06T17:46:20.356698,2026-04-06,5194165,A1,39937809,1012,1 Bed,1 Bath,562 Sqft,,1579.0,1787.0,"$1,579 - $1,787",Available on 04/17
2026-04-06T17:46:20.356698,2026-04-06,5194165,A1,39937826,1112,1 Bed,1 Bath,562 Sqft,,1579.0,1787.0,"$1,579 - $1,787",Now
